127.0.0.1 - - [03/Jan/2022:10:24:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jan/2022:10:24:09 +0900] "GET /js01/03_conditional.html HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [03/Jan/2022:10:26:53 +0900] "GET /js01/03_conditional.html HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [03/Jan/2022:10:26:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Jan/2022:10:28:14 +0900] "GET /js01/03_conditional.html HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [03/Jan/2022:10:28:27 +0900] "GET /js01/03_conditional.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:10:28:41 +0900] "GET /js01/03_conditional.html HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [03/Jan/2022:10:29:15 +0900] "GET /js01/03_conditional.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:10:29:46 +0900] "GET /js01/03_conditional.html HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [03/Jan/2022:10:31:50 +0900] "GET /js01/03_conditional.html HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [03/Jan/2022:10:32:11 +0900] "GET /js01/03_conditional.html HTTP/1.1" 200 520
128.199.174.47 - - [03/Jan/2022:15:36:13 +0900] "GET / HTTP/1.0" 404 807
